"name";"lat";"lon"
"gachon univ";37,4486992;127,1267248
"univ montreal";45,50451745;-73,61464057
"loughborough univ london";51,5482919;-0,023715
"univ illes balears";39,60872805;2,673586946
"univ foggia";41,46181535;15,54334869
"univ carthage";36,8796668;10,33731031
"res and dev grp";10,2952822;-61,4395235
"shandong normal univ";35,5928184;116,9863053
"asia pacific univ";23,74368605;90,37443623
"istanbul tech univ";41,0132424;28,9637609
"wuyi univ";22,597437;113,0785547
"univ bordeaux";44,80826;-0,59479009
"pyatigorsk state univ";44,0546992;43,06733867
"univ n carolina";36,0373638;-79,0355663
"shanghai maritime univ";30,87705535;121,9001186
"amity univ dubai";25,1228267;55,41975087
"univ sabana";7,88405775;-72,49926012
"univ itmo";59,94186255;30,29726066
"samara natl res univ";47,659083;-122,277617
"katholieke univ leuven";50,8831552;4,7018862
"univ torino";45,0675807;7,6897297
"inner mongolia univ";40,7864425;111,5456861
"yantai univ";37,470987;121,4460788
"beijing jiaotong univ china";39,94976005;116,3362905
"natl res univ";29,6328784;-82,3490133
"peng cheng lab";34,2665541;117,1809741
"complex res inst";14,6388723;121,0742293
"univ jinan";36,63608835;117,0663747
"peoples r china.";35,000074;104,999927
"univ pkwy";32,9813205;-96,747787
"reutlingen univ";48,48371815;9,189390064
"al zaytoonah univ jordan";31,8317142;35,8952905
"c v lab";-17,4130294;-66,1735671
"virginia tech";37,21872455;-80,42542519
"sba res";34,6090888;32,96608801
"pakistan inst management";31,5104754;74,35213
"huawei tech co ltd";30,7669142;103,8923921
"indian inst tech jodhpur";26,4729356;73,11439453
"virtual univ pakistan";33,6760901;73,0141708
"zhejiang lab";24,7601353;105,2636737
"univ zurich uzh";47,3973044;8,549542929
"sch comp";17,9757968;-76,7828992
"brunel univ";51,53255315;-0,473993562
"pacific northwest natl lab";47,6502069;-122,3320275
"air force res lab";14,5078446;121,0578016
"telecom paristech";48,82676915;2,346435431
"singidunum univ";44,78222765;20,47867207
"univ nova lisboa";38,7491398;-9,165978705
"univ rovira and virgili";41,1322968;1,242876055
"ural fed univ";55,4454716;65,34976789
"guglielmo marconi univ";45,0679664;7,685616639
"southwest petr univ";49,8434782;18,30450264
"saclay univ";48,7086837;2,164767941
"univ texas arlington";32,7292983;-97,1266772
"hong duc univ";10,85279065;106,7725584
"univ malaysia kelantan";6,09947385;102,2828677
"univ leuven";50,8775968;4,700091
"univ tun hussein onn";3,0397932;101,794272
"univ pablo olavide";-6,77272475;-79,84229403
"hosp univ getafe";40,31806575;-3,728039533
"yunnan coll business management";21,9335809;101,2434577
"harbin univ commerce";45,8166355;126,558394
"washington univ";38,6557573;-90,31031013
"huaqiao univ";24,6004712;118,0816574
"intel deutschland gmbh";48,0776465;11,6173906
"univ punjab";30,26679265;71,5061073
"microsoft res";37,41096725;-122,0713874
"sun moon univ";22,304572;114,1797629
"univ istmo";27,07437285;-109,4284505
"barcelona assoc";41,3779626;2,1166111
"sungshin w univ";37,5926755;127,0164764
"univ southampton malaysia";1,42989335;103,6122047
"hangzhou dianzi univ";30,3125525;120,3430946
"zhejiang normal univ";29,136745;119,6376144
"middlesex univ";51,59029705;-0,229632209
"univ aberta";38,7180658;-9,152282649
"bahria univ";33,7157549;73,0283367
"trier univ";49,74725245;6,68717035
"univ fortaleza";14,6813488;120,9719986
"vietnam natl univ";10,8742626;106,8020395
"eotvos lorand univ";47,4934799;19,06189933
"hebei univ";38,01797455;114,5251527
"lomonosov moscow state univ";55,70229715;37,53179777
"univ lyon";45,7465087;4,826325075
"charles sturt univ";-35,0636071;147,3552234
"sastra univ";10,9628655;79,38530651
"univ texas dallas";32,9875855;-96,74976928
"stuart sch business";29,9910365;-90,1614633
"wzb berlin social sci ctr";52,50665125;13,36510609
"ludwig maximilians univ munchen";48,1521954;11,5815637
"univ g dannunzio";-33,0451132;-71,61825273
"orebro univ";59,2544839;15,2498899
"reserve bank new zealand";-41,5000831;172,8344077
"luxembourg sch business";49,8158683;6,1296751
"univ pk";36,79191345;-119,7755235
"univ malaga";36,71649295;-4,467912286
"huzhou univ";30,87547495;120,1272603
"sch management";50,4542812;-3,689225273
"indian inst management";26,25083415;78,17156335
"xian shiyou univ";41,1420779;121,1183428
"shenzhen univ";22,5411015;113,9389041
"brigham and womens hosp";42,33568;-71,10604363
"univ sapienza";41,9034614;12,51480435
"oklahoma state univ";36,1295801;-97,08853715
"indian inst tech ism";23,81477135;86,44278549
"paris saclay univ";48,70040225;2,170819581
"rutgers state univ";40,4929271;-74,44520167
"univ philippines";8,9252031;125,5398315
"univ tubingen";48,51945495;9,054900616
"univ nsw";-32,8870387;151,7098651
"univ oxfords";50,89273635;-1,394642947
"harvard sch business";20,6466;-103,434366
"changan univ";34,2264138;108,9579327
"alfo res lab";16,6414418;-3,7518652
"chengdu normal univ";30,6118475;104,1139323
"digital sci";45,3315085;4,309913719
"xiangtan univ";27,90219445;112,9177226
"simula res lab";57,7416585;27,0487928
"anhui normal univ";32,89607075;115,7957115
"xain res";-22,42532515;18,89454051
"higher sch economics";55,76108225;37,63259451
